Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
ABL No. 6 A Beautiful Life Brandsfor women and men,for women and men,1.00,1,"['fruity', 'floral', 'sweet', 'fresh', 'white floral']",[],ABL No. 6byA Beautiful Life Brandsis a fragrance for women and men.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/ABL-No-6-47834.html
Black Rose A Beautiful Life Brandsfor women,for women,5.00,1,"['rose', 'musky', 'leather', 'amber', 'animalic', 'powdery', 'floral', 'smoky']",[],Black RosebyA Beautiful Life Brandsis a fragrance for women.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Black-Rose-47835.html
Composition by ABL A Beautiful Life Brandsfor women and men,for women and men,3.67,3,"['fruity', 'mineral', 'fresh', 'green', 'paper']",[],Composition by ABLbyA Beautiful Life Brandsis a fragrance for women and men.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Composition-by-ABL-47824.html
Crush'd A Beautiful Life Brandsfor women and men,for women and men,4.67,3,"['citrus', 'vanilla', 'sweet', 'fresh spicy', 'fruity']",[],Crush'dbyA Beautiful Life Brandsis a fragrance for women and men.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Crush-d-47837.html
Fawn A Beautiful Life Brandsfor women and men,for women and men,3.33,3,"['sweet', 'yellow floral', 'citrus', 'powdery', 'bitter', 'fresh spicy', 'aromatic', 'herbal', 'green']",[],FawnbyA Beautiful Life Brandsis a Aromatic Green fragrance for women and men.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Fawn-47827.html
I Heart Unicorns A Beautiful Life Brandsfor women,for women,4.11,9,"['woody', 'citrus', 'aromatic', 'fresh spicy', 'amber', 'green', 'warm spicy', 'powdery', 'fruity']",[],I Heart UnicornsbyA Beautiful Life Brandsis a fragrance for women.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/I-Heart-Unicorns-47823.html
Mermaid's Kiss A Beautiful Life Brandsfor women,for women,2.33,3,"['woody', 'fresh spicy', 'citrus', 'sweet', 'aromatic', 'fruity', 'white floral', 'rum', 'floral', 'tropical']",[],Mermaid's KissbyA Beautiful Life Brandsis a Aromatic Aquatic fragrance for women.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Mermaid-s-Kiss-47825.html
NO by ABL A Beautiful Life Brandsfor women,for women,N/A,N/A,"['floral', 'fresh', 'fruity', 'herbal', 'sweet', 'patchouli', 'soft spicy']",[],NO by ABLbyA Beautiful Life Brandsis a fragrance for women.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/NO-by-ABL-47831.html
Other by ABL A Beautiful Life Brandsfor women and men,for women and men,2.50,2,"['cannabis', 'coffee', 'warm spicy', 'aromatic', 'herbal', 'green', 'smoky', 'honey']",[],Other by ABLbyA Beautiful Life Brandsis a fragrance for women and men.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Other-by-ABL-47826.html
PoP by ABL A Beautiful Life Brandsfor women and men,for women and men,1.00,1,"['floral', 'fruity', 'aromatic', 'warm spicy', 'fresh', 'soft spicy', 'sweet', 'cherry', 'citrus', 'powdery']",[],PoP by ABLbyA Beautiful Life Brandsis a fragrance for women and men.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/PoP-by-ABL-47832.html
Sucre Blanc A Beautiful Life Brandsfor women and men,for women and men,4.67,3,"['warm spicy', 'cinnamon', 'vanilla', 'fresh spicy', 'sweet', 'powdery', 'musky']",[],Sucre BlancbyA Beautiful Life Brandsis a fragrance for women and men.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Sucre-Blanc-47833.html
Vrai Vert A Beautiful Life Brandsfor women and men,for women and men,3.00,2,"['aromatic', 'yellow floral', 'green', 'ozonic', 'aquatic', 'herbal', 'soft spicy', 'citrus', 'lavender', 'fresh spicy']",[],Vrai VertbyA Beautiful Life Brandsis a fragrance for women and men.,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Vrai-Vert-47836.html
Amber Queen A Dozen Rosesfor women,for women,3.77,96,"['citrus', 'rose', 'fruity', 'sweet', 'floral', 'warm spicy', 'amber', 'powdery', 'lactonic']",['Lynn Emmolo'],"Amber QueenbyA Dozen Rosesis a Amber Floral fragrance for women.Amber Queenwas launched in 2012. The nose behind this fragrance is Lynn Emmolo. Top notes are Apricot, Clementine and Ginger; middle notes are Damask Rose and Rose; base note is Amber.",https://www.fragrantica.com/perfume/A-Dozen-Roses/Amber-Queen-15524.html
Angel Face A Dozen Rosesfor women,for women,3.96,107,"['floral', 'woody', 'fruity', 'rose', 'fresh', 'aromatic', 'earthy', 'patchouli', 'green', 'violet']",['Lynn Emmolo'],"Angel FacebyA Dozen Rosesis a Floral Fruity fragrance for women.Angel Facewas launched in 2013. The nose behind this fragrance is Lynn Emmolo. Top notes are Black Currant and Apple; middle notes are Rose, Violet, Peony, Lilac and Jasmine; base notes are Vetiver, Patchouli and Tonka Bean.",https://www.fragrantica.com/perfume/A-Dozen-Roses/Angel-Face-18588.html
