Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,
ABL No. 6 A Beautiful Life Brandsfor women and men,for women and men,1,1,"['fruity', 'floral', 'sweet', 'fresh', 'white floral']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/ABL-No-6-47834.html
Black Rose A Beautiful Life Brandsfor women,for women,5,1,"['rose', 'musky', 'leather', 'amber', 'animalic', 'powdery', 'floral', 'smoky']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Black-Rose-47835.html
Composition by ABL A Beautiful Life Brandsfor women and men,for women and men,3.67,3,"['fruity', 'mineral', 'fresh', 'green', 'paper']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Composition-by-ABL-47824.html
Crush'd A Beautiful Life Brandsfor women and men,for women and men,4.67,3,"['citrus', 'vanilla', 'sweet', 'fresh spicy', 'fruity']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Crush-d-47837.html
Fawn A Beautiful Life Brandsfor women and men,for women and men,3.33,3,"['sweet', 'yellow floral', 'citrus', 'powdery', 'bitter', 'fresh spicy', 'aromatic', 'herbal', 'green']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Fawn-47827.html
I Heart Unicorns A Beautiful Life Brandsfor women,for women,4.11,9,"['woody', 'citrus', 'aromatic', 'fresh spicy', 'amber', 'green', 'warm spicy', 'powdery', 'fruity']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/I-Heart-Unicorns-47823.html
Mermaid's Kiss A Beautiful Life Brandsfor women,for women,2.33,3,"['woody', 'fresh spicy', 'citrus', 'sweet', 'aromatic', 'fruity', 'white floral', 'rum', 'floral', 'tropical']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Mermaid-s-Kiss-47825.html
NO by ABL A Beautiful Life Brandsfor women,for women,N/A,N/A,"['floral', 'fresh', 'fruity', 'herbal', 'sweet', 'patchouli', 'soft spicy']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/NO-by-ABL-47831.html
Other by ABL A Beautiful Life Brandsfor women and men,for women and men,2.5,2,"['cannabis', 'coffee', 'warm spicy', 'aromatic', 'herbal', 'green', 'smoky', 'honey']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Other-by-ABL-47826.html
PoP by ABL A Beautiful Life Brandsfor women and men,for women and men,1,1,"['floral', 'fruity', 'aromatic', 'warm spicy', 'fresh', 'soft spicy', 'sweet', 'cherry', 'citrus', 'powdery']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/PoP-by-ABL-47832.html
Sucre Blanc A Beautiful Life Brandsfor women and men,for women and men,4.67,3,"['warm spicy', 'cinnamon', 'vanilla', 'fresh spicy', 'sweet', 'powdery', 'musky']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Sucre-Blanc-47833.html
Vrai Vert A Beautiful Life Brandsfor women and men,for women and men,3,2,"['aromatic', 'yellow floral', 'green', 'ozonic', 'aquatic', 'herbal', 'soft spicy', 'citrus', 'lavender', 'fresh spicy']",[],https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Vrai-Vert-47836.html
Amber Queen A Dozen Rosesfor women,for women,3.77,96,"['citrus', 'rose', 'fruity', 'sweet', 'floral', 'warm spicy', 'amber', 'powdery', 'lactonic']",['Lynn Emmolo'],https://www.fragrantica.com/perfume/A-Dozen-Roses/Amber-Queen-15524.html
Angel Face A Dozen Rosesfor women,for women,3.96,107,"['floral', 'woody', 'fruity', 'rose', 'fresh', 'aromatic', 'earthy', 'patchouli', 'green', 'violet']",['Lynn Emmolo'],https://www.fragrantica.com/perfume/A-Dozen-Roses/Angel-Face-18588.html
Electron A Dozen Rosesfor women,for women,3.65,92,"['ozonic', 'rose', 'green', 'musky', 'aquatic', 'floral', 'powdery', 'fresh', 'sweet']",['Lynn Emmolo'],https://www.fragrantica.com/perfume/A-Dozen-Roses/Electron-14300.html
Gold Rush A Dozen Rosesfor women,for women,3.93,146,"['woody', 'sweet', 'rose', 'warm spicy', 'yellow floral', 'fruity', 'chocolate', 'white floral', 'floral', 'citrus']",['Lynn Emmolo'],https://www.fragrantica.com/perfume/A-Dozen-Roses/Gold-Rush-12963.html
Iced White A Dozen Rosesfor women,for women,3.56,82,"['floral', 'rose', 'musky', 'fresh', 'fruity', 'powdery']",['Lynn Emmolo'],https://www.fragrantica.com/perfume/A-Dozen-Roses/Iced-White-12961.html
Shakespeare in Love A Dozen Rosesfor women,for women,3.62,109,"['rose', 'white floral', 'vanilla', 'woody', 'fruity', 'sweet', 'floral', 'aquatic', 'fresh', 'lactonic']",['Lynn Emmolo'],https://www.fragrantica.com/perfume/A-Dozen-Roses/Shakespeare-in-Love-12960.html
Casablanca A la Façon Londonfor men,for men,N/A,N/A,[],[],https://www.fragrantica.com/perfume/A-la-Facon-London/Casablanca-49627.html
Moonlight Cypress A La Lunefor women and men,for women and men,3,2,"['aromatic', 'woody', 'fresh spicy', 'earthy', 'musky']",[],https://www.fragrantica.com/perfume/A-La-Lune/Moonlight-Cypress-81282.html
Santal Extreme A La Lunefor women and men,for women and men,4.5,2,"['amber', 'warm spicy', 'musky', 'oud']",[],https://www.fragrantica.com/perfume/A-La-Lune/Santal-Extreme-81281.html
Trinity Blood A La Lunefor women and men,for women and men,1.4,5,"['metallic', 'mineral', 'amber']",[],https://www.fragrantica.com/perfume/A-La-Lune/Trinity-Blood-81283.html
Rouge A La Russefor women,for women,4.12,8,"['vanilla', 'amber', 'balsamic', 'musky', 'powdery', 'sweet', 'fresh spicy', 'woody']",['Sileno Cheloni'],https://www.fragrantica.com/perfume/A-La-Russe/Rouge-30007.html
