Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Narada Fulton & Roarkfor women and men,for women and men,N/A,N/A,"['fresh spicy', 'warm spicy', 'amber', 'citrus', 'woody', 'balsamic', 'aromatic']",[],NaradabyFulton & Roarkis a Aromatic Spicy fragrance for women and men.Naradawas launched in 2020. Top notes are Bergamot and Black Pepper; middle notes are Palisander Rosewood and Ginger; base note is Resin.,https://www.fragrantica.com/perfume/Fulton-Roark/Narada-87064.html
Mbucuruyá Fueguia 1833for women and men,for women and men,3.84,261,"['lactonic', 'tropical', 'fresh', 'fruity', 'sweet', 'citrus', 'savory']",['Julian Bedel'],MbucuruyábyFueguia 1833is a Floral Fruity Gourmand fragrance for women and men.Mbucuruyáwas launched in 2010. The nose behind this fragrance is Julian Bedel. Top note is Passionfruit; middle note is Citruses; base note is Milk.,https://www.fragrantica.com/perfume/Fueguia-1833/Mbucuruya-18232.html
Lily Fruits & Passionfor women,for women,3.67,6,"['floral', 'citrus', 'fresh spicy', 'powdery', 'woody', 'musky', 'sweet', 'fresh', 'aromatic']",[],LilybyFruits & Passionis a Floral fragrance for women.Lilywas launched in 2013. Top notes are Bergamot and Peony; middle notes are Orchid and Poppy; base notes are Musk and Woody Notes.,https://www.fragrantica.com/perfume/Fruits-Passion/Lily-44588.html
Mango Escape Fruits & Passionfor women,for women,2.67,3,"['fruity', 'sweet', 'tropical']",[],Mango EscapebyFruits & Passionis a Floral Fruity fragrance for women.,https://www.fragrantica.com/perfume/Fruits-Passion/Mango-Escape-16332.html
Mango Evasion Fruits & Passionfor women,for women,4.25,8,"['tropical', 'aquatic', 'fruity', 'sweet', 'white floral', 'fresh', 'vanilla', 'musky', 'powdery', 'terpenic']",[],"Mango EvasionbyFruits & Passionis a Floral Fruity fragrance for women. Top notes are Mango, Water Notes and Green Notes; middle notes are Jasmine and Tea Rose; base notes are Musk and Vanille.",https://www.fragrantica.com/perfume/Fruits-Passion/Mango-Evasion-13249.html
Orange-Cantaloup Fruits & Passionfor women,for women,4.23,47,"['citrus', 'sweet', 'fresh', 'ozonic', 'aquatic', 'powdery', 'fruity', 'white floral', 'vanilla', 'violet']",[],"Orange-CantaloupbyFruits & Passionis a Floral Fruity fragrance for women. Top notes are Melon, Orange and Litsea Cubeba; middle notes are Violet, Big Strawberry, Lily-of-the-Valley and Jasmine; base notes are Musk, Vanille and Heliotrope.",https://www.fragrantica.com/perfume/Fruits-Passion/Orange-Cantaloup-13243.html
Peach Obsession Fruits & Passionfor women,for women,4.25,8,"['fruity', 'sweet', 'vanilla', 'powdery', 'tropical']",[],"Peach ObsessionbyFruits & Passionis a Amber Vanilla fragrance for women. Top notes are Pineapple and Bergamot; middle notes are Peach and Coconut; base notes are Vanille, Musk and Amber.",https://www.fragrantica.com/perfume/Fruits-Passion/Peach-Obsession-13251.html
Pear-Peony Fruits & Passionfor women,for women,4.43,21,"['fruity', 'fresh', 'floral', 'sweet', 'white floral', 'woody', 'rose', 'aquatic', 'green']",[],Pear-PeonybyFruits & Passionis a Floral Fruity fragrance for women. Top notes are Nectarine and Pear Wood; middle notes are Pear and Honeysuckle; base notes are Peony and Tea.,https://www.fragrantica.com/perfume/Fruits-Passion/Pear-Peony-13246.html
Pink Fruits & Passionfor women,for women,3.67,6,"['fruity', 'floral', 'musky', 'woody', 'powdery', 'sweet', 'white floral']",[],PinkbyFruits & Passionis a Floral Fruity fragrance for women. Top notes are Peach and Black Currant; middle notes are Jasmine and Freesia; base notes are Musk and Woodsy Notes.,https://www.fragrantica.com/perfume/Fruits-Passion/Pink-13254.html
Chlora French Attitudefor women,for women,N/A,N/A,"['powdery', 'floral', 'woody', 'citrus', 'musky', 'white floral', 'violet', 'vanilla', 'rose', 'fresh spicy']",[],"ChlorabyFrench Attitudeis a Floral Woody Musk fragrance for women. Top notes are Bergamot and Violet Leaf; middle notes are Hawthorn, Violet, Rose and Jasmine; base notes are Sandalwood, White Musk, Vanilla and Amber.",https://www.fragrantica.com/perfume/French-Attitude/Chlora-47319.html
Cosa Nostra French Attitudefor men,for men,4.00,3,"['aromatic', 'fruity', 'earthy', 'fresh spicy', 'herbal', 'mossy', 'warm spicy', 'woody', 'citrus', 'patchouli']",[],"Cosa NostrabyFrench Attitudeis a Aromatic Fougere fragrance for men. Top notes are Green Apple, Grapefruit, Lavender, Fruity Notes and Mint; middle notes are Sage, Geranium and Cloves; base notes are Woody Notes, Vetiver, Patchouli and Oakmoss.",https://www.fragrantica.com/perfume/French-Attitude/Cosa-Nostra-47320.html
Cute French Attitudefor women,for women,4.00,1,"['woody', 'white floral', 'vanilla', 'green', 'powdery', 'citrus', 'fruity', 'aromatic', 'floral', 'fresh']",['Nejla Barbir'],"CutebyFrench Attitudeis a fragrance for women. The nose behind this fragrance is Nejla Barbir. Top notes are Black Currant, Bergamot and Green Notes; middle notes are Lily-of-the-Valley and Jasmine Sambac; base notes are Cedar, Sandalwood, Vanilla and Tonka Bean.",https://www.fragrantica.com/perfume/French-Attitude/Cute-47536.html
Divague French Attitudefor women,for women,N/A,N/A,"['fresh', 'aldehydic', 'citrus', 'floral', 'fruity', 'musky', 'woody', 'sweet', 'powdery', 'soapy']",[],DivaguebyFrench Attitudeis a Chypre Floral fragrance for women. Top notes are Aldehydes and Citruses; middle notes are Floral Notes and Fruity Notes; base notes are Woody Notes and Musk.,https://www.fragrantica.com/perfume/French-Attitude/Divague-47377.html
Tube-Rome Fratelli Diamantifor women and men,for women and men,3.50,2,"['white floral', 'tuberose', 'animalic', 'musky']",['Julia Rodriguez Pastor'],"Tube-RomebyFratelli Diamantiis a Floral fragrance for women and men.Tube-Romewas launched in 2021. The nose behind this fragrance is Julia Rodriguez Pastor. Top notes are Neroli, Sea Notes and Mandarin Orange; middle notes are Tuberose, Jasmine and Spicy Notes; base notes are Musk, Orange Blossom and Ambergris.",https://www.fragrantica.com/perfume/Fratelli-Diamanti/Tube-Rome-76674.html
1270 Frapinfor women and men,for women and men,4.24,"2,965","['sweet', 'fruity', 'woody', 'honey', 'vanilla', 'warm spicy', 'amber']",['Sidonie Lancesseur'],"1270byFrapinis a Amber Spicy fragrance for women and men.1270was launched in 2010. The nose behind this fragrance is Sidonie Lancesseur. Top notes are Pineapple, Resin, Dried Plum, Cacao, Tonka Bean, Orange and Coffee; middle notes are Dried Fruits, Spices, Hazelnut, Lime (Linden) Blossom and Flowers; base notes are White Honey, Vanilla, Woodsy Notes and Guaiac Wood.",https://www.fragrantica.com/perfume/Frapin/1270-5325.html
1270 Extrême Frapinfor women and men,for women and men,4.10,261,"['woody', 'fruity', 'sweet', 'vanilla', 'aromatic', 'fresh', 'green', 'white floral', 'balsamic', 'tropical']",['Jérôme Epinette'],"1270 ExtrêmebyFrapinis a Floral fragrance for women and men. This is a new fragrance.1270 Extrêmewas launched in 2022. The nose behind this fragrance is Jérôme Epinette. Top notes are Pineapple, Apple, Elemi resin and Bergamot; middle notes are Cedar, Jasmine Sambac, Vine and Rose; base notes are Tonka Bean, Vanilla, Guaiac Wood and Patchouli.",https://www.fragrantica.com/perfume/Frapin/1270-Extreme-72841.html
1697 Frapinfor women and men,for women and men,3.62,827,"['warm spicy', 'woody', 'sweet', 'rum', 'amber', 'vanilla', 'fruity', 'cinnamon', 'powdery', 'floral']",['Bertrand Duchaufour'],"1697byFrapinis a Amber Spicy fragrance for women and men.1697was launched in 2011. The nose behind this fragrance is Bertrand Duchaufour. Top notes are Rum, Pink Pepper, French labdanum and Artemisia; middle notes are Dried Fruits, Cinnamon, Clove, Hawthorn, Ylang-Ylang, Rose and Jasmine; base notes are Vanille, Tonka Bean, Amber, Patchouli, Virginia Cedar and Musk.",https://www.fragrantica.com/perfume/Frapin/1697-11418.html
