Name,Brand,Gender,Year,Rating Value,Rating Count,Main Accords,Perfumers,Top Notes,Middle Notes,Base Notes,Longevity,Sillage,Description,Image URL,URL
Other by ABL,A Beautiful Life Brands,for women and men,N/A,2.50,2,"cannabis,coffee,warm spicy,aromatic,herbal,green,smoky,honey",,N/A,N/A,N/A,N/A,N/A,"Other by ABL by A Beautiful Life Brands is a fragrance for women and men. ""This Perfume Fights Fascism! First it'sthem, next it'sYOU! Standing up for what you believe in takes dedication - and involves long hours and close quarters. There's no reason you can't smell great on the barricades and in the corridors of power. We can help! IntroducingOTHER by ABL, a universal scent - made in solidarity with people of all genders, creeds, colors, and heritage. Notes of strong coffee, sweet honey, spicy cardamom, lush brown suede, and fragrant cannabis forge a unique and hopeful accord. Specially priced for challenging times! OTHER by ABL was created in a spirit of diversity and inclusiveness, in response to concerns many Americans are sharing about our freedoms, and our future."" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47826.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Other-by-ABL-47826.html
Mermaid's Kiss,A Beautiful Life Brands,for women,N/A,2.33,3,"woody,fresh spicy,citrus,sweet,aromatic,fruity,white floral,rum,floral,tropical",,N/A,N/A,N/A,N/A,N/A,"Mermaid's Kiss by A Beautiful Life Brands is a Aromatic Aquatic fragrance for women. ""Mermaid's Kiss Perfumesmells of fresh ocean air, island fruits, lush native flora, and the warmth of your skin in the sun. Close your eyes and you can feel the salty spray as the sea crashes on the rocks. With notes of Jamaican lime, juicy pineapple, French cypress, pink lotus, bamboo, lily, and bay rum. Exotic and intoxicating!"" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47825.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Mermaid-s-Kiss-47825.html
Fawn,A Beautiful Life Brands,for women and men,N/A,3.50,4,"sweet,yellow floral,citrus,powdery,bitter,fresh spicy,aromatic,herbal,green",,N/A,N/A,N/A,N/A,N/A,"Fawn by A Beautiful Life Brands is a Aromatic Green fragrance for women and men. ""There’s something so magical about a walk in the woods; a craggy trail over twisted roots, mossy stones along a silvery brook, shafts of golden sun broken by the lush green boughs overhead. Then the trees part into a clearing, and in the tall grass of the meadow – a Fawn. Fawn by ABL is a fresh, green EDP with a toasty sweet finish. Notes of dandelion, lemongrass, and marshmallow combine to create something surprising and delightful."" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47827.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Fawn-47827.html
NO by ABL,A Beautiful Life Brands,for women,N/A,N/A,N/A,"floral,fresh,fruity,herbal,sweet,patchouli,soft spicy",,N/A,N/A,N/A,N/A,N/A,"NO by ABL by A Beautiful Life Brands is a fragrance for women. ""NO by ABL is a heady Eau de Parfum blend of overripe fruits, lush wildflowers, pink peppercorn, and sensual patchouli. Utterly feminine. Utterly Strong. NO by ABL EDP. Say NO to rape, rape culture, and all forms of sexual violence. "" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47831.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/NO-by-ABL-47831.html
PoP by ABL,A Beautiful Life Brands,for women and men,N/A,1.00,1,"floral,fruity,aromatic,warm spicy,fresh,soft spicy,sweet,cherry,citrus,powdery",,N/A,N/A,N/A,N/A,N/A,"PoP by ABL by A Beautiful Life Brands is a fragrance for women and men. ""PoP by ABL is a vibrant and romantic Eau de Parfum. Each spritz reveals an explosion of effervescent goodness that’s totally wearable! PoP even has a super cool Pop Art comic label! Notes of warm cherry blossom, juicy white peach, and lively ginger - with just a touch of cleansing clary sage - make PoP by ABL a fresh, fun, & fizzy EDP!"" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47832.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/PoP-by-ABL-47832.html
I Heart Unicorns,A Beautiful Life Brands,for women,N/A,4.10,10,"woody,citrus,aromatic,fresh spicy,amber,green,warm spicy,powdery,fruity",,N/A,N/A,N/A,N/A,N/A,"I Heart Unicorns by A Beautiful Life Brands is a fragrance for women. ""I Heart Unicorns is an ode to your teenage years, inspired by myth and the power of belief - Where Barbie dolls and blacklight posters co-existed in your boudoir. Bright notes of Lemon, Peppermint, and Pomegranate are grounded by a fresh, earthy base. Mystery swirls and surrounds with Nag Champaand Frankincense. It's all bubblegum, bridles, and girly fantasy."" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47823.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/I-Heart-Unicorns-47823.html
ABL No. 6,A Beautiful Life Brands,for women and men,N/A,1.00,1,"fruity,floral,sweet,fresh,white floral",,N/A,N/A,N/A,N/A,N/A,"ABL No. 6 by A Beautiful Life Brands is a fragrance for women and men. ""A fresh, pretty, and totally original fragrance, perfect for any season. Orchard fruits, pear and fig, blend beautifully with sweet honeysuckle, exotic osmanthus, and fragrant lilac. Deepened by a touch of sandalwood."" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47834.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/ABL-No-6-47834.html
Black Rose,A Beautiful Life Brands,for women,N/A,5.00,1,"rose,musky,leather,amber,animalic,powdery,floral,smoky",,N/A,N/A,N/A,N/A,N/A,"Black Rose by A Beautiful Life Brands is a fragrance for women. ""A thoroughly modern unisex rose fragrance, sensual and sophisticated. Bulgarian rose is amplified and framed by hints of leather, amber, and musk. Black Rose is an enchanting way to rediscover the beauty and elegance of roses."" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47835.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Black-Rose-47835.html
Composition by ABL,A Beautiful Life Brands,for women and men,N/A,3.25,4,"fruity,mineral,fresh,green,paper",,N/A,N/A,N/A,N/A,N/A,"Composition by ABL by A Beautiful Life Brands is a fragrance for women and men. ""Back-to-school is a time bursting with expectation and new romantic possibility. Summer is over, its bittersweet kiss good-bye faintly lingers as you experience the promise that the changing seasons bring. Composition by ABL is an ode to that feeling of anticipation – a clean, modern, yet sensual accord for men and women. Notes of flinty graphite, bleached white paper, lush green apple, and soft grey woolens will come alive with the warmth of your skin, in a cozy sweater, on a chilly autumn day, as the leaves turn…"" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47824.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Composition-by-ABL-47824.html
Crush'd,A Beautiful Life Brands,for women and men,N/A,4.67,3,"citrus,vanilla,sweet,fresh spicy,fruity",,N/A,N/A,N/A,N/A,N/A,"Crush'd by A Beautiful Life Brands is a fragrance for women and men. ""A warm, dreamy blend of Blood Orange, Vanilla, Tonka Bean, Ylang Ylang, and Sandalwood. Spicy and seductive, like a sexy creamsicle - this one's Shannon's fave!"" - a note from the brand.",https://fimgs.net/mdimg/perfume/375x500.47837.jpg,https://www.fragrantica.com/perfume/A-Beautiful-Life-Brands/Crush-d-47837.html
