Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
$ DS&Durgafor men,for men,4.14,7,"['musky', 'tuberose', 'animalic', 'white floral', 'leather', 'powdery', 'vanilla', 'sweet', 'amber']",['David Seth Moltz'],$byDS&Durgais a Amber Fougere fragrance for men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/-8801.html
1538 Rheims DS&Durgafor women,for women,,,"['musky', 'powdery', 'iris', 'warm spicy', 'earthy', 'woody', 'white floral', 'violet', 'patchouli', 'animalic']",['David Seth Moltz'],1538 RheimsbyDS&Durgais a Floral Woody Musk fragrance for women. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/1538-Rheims-9182.html
Amber Kiso DS&Durgafor women and men,for women and men,4.09,667,"['woody', 'leather', 'smoky', 'aromatic', 'amber', 'fresh spicy']",['David Seth Moltz'],"Amber KisobyDS&Durgais a Woody Chypre fragrance for women and men.Amber Kisowas launched in 2018. The nose behind this fragrance is David Seth Moltz. Top notes are Incense, Cypress and Cedar; middle notes are Maple, Patchouli and Iris; base notes are Leather, Hinoki and Moss.",https://www.fragrantica.com/perfume/DS-Durga/Amber-Kiso-53002.html
Amber Teutonic DS&Durgafor women and men,for women and men,4.04,362,"['woody', 'aromatic', 'fresh spicy', 'conifer', 'balsamic', 'sweet', 'amber', 'warm spicy']",['David Seth Moltz'],"Amber TeutonicbyDS&Durgais a Woody Spicy fragrance for women and men.Amber Teutonicwas launched in 2018. The nose behind this fragrance is David Seth Moltz. Top notes are Cedar, Cardamom and Green Mandarin; middle notes are Silver Fir, Larch and Geranium; base notes are Opoponax, Pine and Musk.",https://www.fragrantica.com/perfume/DS-Durga/Amber-Teutonic-53003.html
Barbados DS&Durgafor men,for men,3.8,5,"['fresh spicy', 'citrus', 'woody', 'aromatic', 'rum', 'camphor', 'warm spicy', 'conifer', 'powdery', 'sweet']",['David Seth Moltz'],BarbadosbyDS&Durgais a Woody Spicy fragrance for men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Barbados-8802.html
Beartrapper DS&Durgafor men,for men,4.4,5,"['citrus', 'leather', 'woody', 'green', 'animalic', 'aromatic']",['David Seth Moltz'],BeartrapperbyDS&Durgais a Woody Aromatic fragrance for men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Beartrapper-8803.html
Beverly Hills 1985 DS&Durgafor women,for women,5.0,2,"['warm spicy', 'amber', 'white floral', 'fruity']",['David Seth Moltz'],Beverly Hills 1985byDS&Durgais a Amber Floral fragrance for women.Beverly Hills 1985was launched in 2010. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Beverly-Hills-1985-9050.html
Big Sur Eucalyptus DS&Durgafor women and men,for women and men,3.6,53,"['woody', 'aromatic', 'marine', 'camphor', 'fresh spicy']",['David Seth Moltz'],Big Sur EucalyptusbyDS&Durgais a Woody Aromatic fragrance for women and men. This is a new fragrance.Big Sur Eucalyptuswas launched in 2023. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Big-Sur-Eucalyptus-88051.html
Bistro Waters DS&Durgafor women and men,for women and men,3.45,140,"['aromatic', 'green', 'fresh spicy', 'mossy', 'sweet', 'earthy', 'herbal', 'fruity', 'citrus', 'yellow floral']",['David Seth Moltz'],"Bistro WatersbyDS&Durgais a Aromatic Green fragrance for women and men. This is a new fragrance.Bistro Waterswas launched in 2022. The nose behind this fragrance is David Seth Moltz. Top notes are Coriander, Pear and Lime Blossom; middle notes are Green Pepper and Mandarin Orange; base notes are Moss, Basil and Nutmeg.",https://www.fragrantica.com/perfume/DS-Durga/Bistro-Waters-73416.html
Black Magenta DS&Durgafor women and men,for women and men,3.63,99,"['sweet', 'fruity', 'tobacco', 'tropical', 'amber', 'woody', 'green', 'powdery', 'iris', 'balsamic']",['David Seth Moltz'],"Black MagentabyDS&Durgais a Amber Woody fragrance for women and men. This is a new fragrance.Black Magentawas launched in 2024. The nose behind this fragrance is David Seth Moltz. Top notes are Pineapple, Galbanum and Black Pepper; middle notes are Dianthus, Orris and Orange Blossom; base notes are Tobacco, Black Amber and Sandalwood.",https://www.fragrantica.com/perfume/DS-Durga/Black-Magenta-90712.html
