name,brand,type,rating_value,rating_count,gender,country,year,segment,perfumers,families,top_notes,middle_notes,bottom_notes,users_notes,url
Amethyst,Floris,,"0,0",N/A,с 2014,N/A,N/A,N/A,[],"['fruit', 'floral']","['klubnika', 'lemon', 'marakuja']","['apelsinovyj-cvet-flerdoranzh', 'mango', 'saharnaja-vata', 'jasmine']","['ambra', 'kedr', 'vanil']",[],https://aromo.ru/fragrance/floris-amethyst-39925/
Animal Oud,I Coloniali,Ароматная дымка,"0,0",N/A,Нишевая парфюмерия,italy,2012,niche,[],['east'],"['black-currant', 'cardamom', 'madagascan-vanilla']",['geranium'],"['ambra', 'kedr']",[],https://aromo.ru/fragrance/i-coloniali-animal-oud-40408/
Bio Beaute Eau Fraiche de Parfum Envoutante et Sensuelle aux Fruits Epices,Nuxe,Парфюмерная вода,"0,0",N/A,с 2009,N/A,N/A,N/A,[],['floral'],"['bergamot', 'elemi']","['raspberry', 'nutmeg', 'rose']","['violet', 'pachuli', 'vanil']",[],https://aromo.ru/fragrance/nuxe-bio-beaute-_-eau-fraiche-de-parfum-envoutante-et-sensuelle-aux-fruits-epices-43915/
Black,River Island,Туалетная вода,"0,0",N/A,Туалетная вода,N/A,N/A,N/A,[],['chypre'],[],"['ananas', 'geranium', 'kozha', 'lavender', 'mandarin', 'pachuli', 'pink-pepper']",[],[],https://aromo.ru/fragrance/river-island-black-44195/
Blue,Brooks Brothers,Одеколон,"0,0",N/A,Одеколон,N/A,N/A,N/A,[],['fern'],"['grapefruit', 'cardamom']","['anise', 'lavender']","['kedr', 'musk']",[],https://aromo.ru/fragrance/brooks-brothers-blue-44837/
Daisy 10th Anniversary Luxury Edition,Marc Jacobs,Туалетная вода,"3,6",9 оценок,Парфюмерия люкс,united-states,2017,suite,['alberto-morillas'],"['musk', 'wood', 'floral']","['grapefruit', 'klubnika', 'list-fialki']","['violet', 'gardenija', 'jasmine']","['musk', 'sandal', 'vanil']",[],https://aromo.ru/fragrance/marc-jacobs-daisy-10th-anniversary-luxury-edition-toilet-water-eau-de-toilette-1937595/
Darling Rose,Yeslam,Парфюмерная вода,"3,0",1 оценка,с 2008,N/A,N/A,N/A,[],"['floral', 'fruit']","['geranium', 'lemon', 'rose']","['fruity-notes', 'ilang-ilang', 'rose', 'jasmine']","['musk', 'pachuli', 'sandal', 'vanil']",[],https://aromo.ru/fragrance/yeslam-darling-rose-51446/
"Capucci de Capucci ""Le Bijou"" (Pendant/Pendentif)",Roberto Capucci,Духи / Экстракт,"0,0",N/A,с 1987,N/A,N/A,N/A,[],"['chypre', 'floral']","['aldehydes', 'bergamot', 'coriander', 'lemon', 'peach', 'green-notes']","['gvozdika', 'ilang-ilang', 'lily-of-the-valley', 'rose', 'tuberoza', 'jasmine']","['ambra', 'dubovyj-moh', 'kedr', 'kokos', 'kozha', 'vetiver', 'civett']",[],https://aromo.ru/fragrance/roberto-capucci-capucci-de-capucci-_le-bijou_-_pendant_pendentif-955179/
Eau de Cologne - Cologne,Laurence Dumont,,"0,0",N/A,В производстве,N/A,N/A,N/A,[],"['wood', 'fern']","['bergamot', 'green-notes']",['geranium'],['musk'],[],https://aromo.ru/fragrance/laurence-dumont-eau-de-cologne-_-cologne-53553/
Tocade / Toquade,Coryse Salome,,"0,0",N/A,с 1957,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/coryse-salome-tocade-_-toquade-92921/
Mademoiselle N. 17,Parfums Constantine,Парфюмерная вода,"0,0",N/A,Парфюмерия масс-маркет,russian-federation,2021,mass-market,[],"['gourmet', 'east']","['apelsinovyj-cvet-flerdoranzh', 'grusha', 'pink-pepper']","['coffee', 'mindal', 'jasmine']","['cashmeran', 'kedr', 'pachuli', 'vanil']",[],https://aromo.ru/fragrance/parfums-constantine-mademoiselle-n_-17-perfume-water-eau-de-parfum-2406358/
I'm Free Vanille Fraiche,Laurence Dumont,Туалетная вода,"0,0",N/A,Парфюмерия масс-маркет,france,N/A,mass-market,[],"['east', 'gourmet']",['karamel'],['vanil'],['musk'],[],https://aromo.ru/fragrance/laurence-dumont-i_m-free-vanille-fraiche-toilet-water-eau-de-toilette-63587/
Sweet Honesty Forever,Avon,Туалетная вода,"2,5",4 оценки,Парфюмерия масс-маркет,united-states,2014,mass-market,[],"['fruit', 'floral']",[],"['dyna', 'violet', 'kedr', 'lily-of-the-valley']",[],[],https://aromo.ru/fragrance/avon-sweet-honesty-forever-toilet-water-eau-de-toilette-681231/
It's Pool Time,Mel Merio,Парфюмерная вода,"0,0",N/A,Парфюмерия масс-маркет,germany,N/A,mass-market,[],['fruit'],[],['tropicheskije-frukty'],[],[],https://aromo.ru/fragrance/mel-merio-it_s-pool-time-64798/
Jadayel Pink (Floral-Fruity Rhythm),Abdul Samad Al Qurashi,Парфюмерная вода,"2,0",2 оценки,Парфюмерия люкс,saudi-arabia,N/A,suite,[],"['fruit', 'floral']",[],"['floral-notes', 'fruity-notes']",[],[],https://aromo.ru/fragrance/abdul-samad-al-qurashi-jadayel-pink-_floral_fruity-rhythm-64935/
"Edmond Dupery ""re Veur",Aromat / Аромат,,"0,0",N/A,N/A,N/A,N/A,N/A,[],"['fruit', 'floral']","['cvetok-grejpfruta', 'frezija']","['list-champaki', 'rose']","['drevesnyje-noty', 'musk']",[],https://aromo.ru/fragrance/aromat--aromat-edmond-dupery-_re-veur-785089/
Joshiki,General Cosmetics,Туалетная вода,"0,0",N/A,Выпуск прекращен,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/general-cosmetics-joshiki-65876/
Kremlin,Velouderma,Одеколон,"0,0",N/A,Выпуск прекращен,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/velouderma-kremlin-66830/
El Sigar Cubana,Evro Parfum,Туалетная вода,"0,0",N/A,с 2015,N/A,N/A,N/A,[],"['floral', 'east']","['ananas', 'bergamot', 'grusha', 'lemon']","['geranium', 'kalendula-ili-nogotki', 'laurel', 'jasmine']","['white-cedar', 'musk', 'pachuli', 'sandal', 'tabak']",[],https://aromo.ru/fragrance/evro-parfum-el-sigar-cubana-780049/
Lancaster Sport Men's Cologne,Lancaster,Одеколон,"0,0",N/A,Одеколон,N/A,N/A,N/A,[],['spicy'],[],"['spices', 'fresh-notes']",[],[],https://aromo.ru/fragrance/lancaster-lancaster-sport-men_s-cologne-67703/
Art Deco I,Alexandre.J,Парфюмерная вода,"0,0",N/A,Нишевая парфюмерия,france,2017,niche,"['amelie-bourgeois', 'anne-sophie-behaghel']",['wood'],[],"['aldehydes', 'white-musk', 'white-cedar', 'woodyamber', 'cashmeran', 'pachuli', 'vanil']",[],[],https://aromo.ru/fragrance/alexandre-j-art-deco-i-perfume-water-eau-de-parfum-1131481/
L`Eau de Cologne,Christian Tortu,Одеколон,"0,0",N/A,Одеколон,N/A,N/A,N/A,[],['citrus'],[],"['orange', 'bergamot', 'bitter-orange', 'lemon']",[],[],https://aromo.ru/fragrance/christian-tortu-l_eau-de-cologne-68573/
Legni Mediterranei For Men,Giardino dei Sensi,Духи / Экстракт,"0,0",N/A,Духи / Экстракт,N/A,N/A,N/A,[],"['wood', 'fern']",[],"['ambra', 'drevesnyje-noty', 'morskije-noty']",[],[],https://aromo.ru/fragrance/giardino-dei-sensi-legni-mediterranei-for-men-68847/
Arabian Knight Silver,Arabian Oud,Парфюмерная вода,"0,0",N/A,Парфюмерия люкс,united-kingdom,N/A,suite,[],"['wood', 'east']","['bergamot', 'geranium']","['ambra', 'cashmeran', 'sandal']","['musk', 'pachuli', 'vanil']",[],https://aromo.ru/fragrance/arabian-oud-arabian-knight-silver-perfume-water-eau-de-parfum-2289054/
Sandalia Unisex - Nixias,Acqua di Sardegna,Парфюмерная вода,"0,0",N/A,Нишевая парфюмерия,italy,N/A,niche,[],['east'],"['woodyamber', 'cashmeran', 'oud']","['woodyamber', 'raspberry']","['dubovyj-moh', 'musk']",[],https://aromo.ru/fragrance/acqua-di-sardegna-nixias-perfume-water-eau-de-parfum-1953259/
Lola Bunny,Looney Tunes,Туалетная вода,"4,0",2 оценки,В производстве,N/A,N/A,N/A,[],"['floral', 'fruit']","['grusha', 'pink-pepper', 'tangerine']","['frezija', 'water-lily', 'jasmine']","['ambra', 'musk', 'white-woods', 'vanilnaja-orkhideja']",[],https://aromo.ru/fragrance/looney-tunes-lola-bunny-70313/
Maaroof,Nabeel,,"3,0",3 оценки,Парфюмерия масс-маркет,united-arab-emirates,N/A,mass-market,[],"['amber', 'spicy', 'wood', 'floral', 'east']","['abrikos', 'gvozdika', 'lemon', 'mod', 'moss', 'romashka', 'rose', 'vanil']","['ambra', 'artemizija-polyn', 'ilang-ilang', 'iris', 'ladan', 'musk', 'saffron', 'jasmine']","['benzoin', 'violet', 'kedr', 'kozha', 'labdanum', 'pachuli', 'sandal', 'oud']",[],https://aromo.ru/fragrance/nabeel-maaroof-938527/
Loretta,Deco London,Парфюмерная вода,"0,0",N/A,с 2015,N/A,N/A,N/A,[],"['floral', 'chypre']","['apelsinovyj-cvet-flerdoranzh', 'osmantus']","['pachuli', 'rose', 'jasmine']","['ambra', 'moss', 'musk', 'vanil', 'vetiver']",[],https://aromo.ru/fragrance/deco-london-loretta-70484/
Lui,Mazzolari,Парфюмерная вода,"0,0",N/A,с 2006,N/A,N/A,N/A,[],"['spicy', 'wood']",[],"['ambra', 'floral-notes', 'kozha', 'musk', 'pachuli', 'sandal', 'spices', 'vetiver', 'virginia-cedar']",[],[],https://aromo.ru/fragrance/mazzolari-lui-perfume-water-eau-de-parfum-71144/
Sweet Years Jeans for Him,Sweet Years,,"4,0",2 оценки,В производстве,N/A,N/A,N/A,[],['fern'],"['ananas', 'black-currant', 'lemon', 'rozmarin', 'tangerine']","['pink-pepper', 'zhasmin-sambak']","['ambra', 'kedr', 'musk', 'pachuli', 'sandal']",[],https://aromo.ru/fragrance/sweet-years-sweet-years-jeans-for-him-91131/
Tete-a-Tete,Emossence,Парфюмерная вода,"0,0",N/A,В производстве,N/A,N/A,N/A,[],"['floral', 'fruit', 'gourmet']","['orange', 'bergamot']","['apelsinovyj-cvet-flerdoranzh', 'violet', 'grusha', 'iris', 'jasmine']","['ambra', 'tonka-bean', 'precious-woods', 'pachuli', 'praline', 'vanil']",[],https://aromo.ru/fragrance/emossence-tete_a_tete-91979/
The Lion King,Air-Val International,,"0,0",N/A,с 1994,N/A,N/A,N/A,[],['citrus'],[],"['citruses', 'floral-notes', 'fruity-notes']",[],[],https://aromo.ru/fragrance/air-val-international-the-lion-king-92336/
Jadayel Pink (Floral-Fruity Rhythm),Abdul Samad Al Qurashi,Парфюмерная вода,"2,0",2 оценки,Парфюмерия люкс,saudi-arabia,N/A,suite,[],"['fruit', 'floral']",[],"['floral-notes', 'fruity-notes']",[],[],https://aromo.ru/fragrance/abdul-samad-al-qurashi-jadayel-pink-_floral_fruity-rhythm-64935/
Joshiki,General Cosmetics,Туалетная вода,"0,0",N/A,Выпуск прекращен,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/general-cosmetics-joshiki-65876/
Kremlin,Velouderma,Одеколон,"0,0",N/A,Выпуск прекращен,N/A,N/A,N/A,[],[],[],[],[],[],https://aromo.ru/fragrance/velouderma-kremlin-66830/
Lancaster Sport Men's Cologne,Lancaster,Одеколон,"0,0",N/A,Одеколон,N/A,N/A,N/A,[],['spicy'],[],"['spices', 'fresh-notes']",[],[],https://aromo.ru/fragrance/lancaster-lancaster-sport-men_s-cologne-67703/
Águas e Brisas Mar de Amor,Avon,Одеколон,"3,0",2 оценки,Парфюмерия масс-маркет,united-states,2011,mass-market,[],"['fruit', 'floral']",[],"['musk', 'rose', 'zelenoje-jabloko', 'jasmine']",[],[],https://aromo.ru/fragrance/avon-guas-e-brisas-mar-de-amor-683751/
L`Eau de Cologne,Christian Tortu,Одеколон,"0,0",N/A,Одеколон,N/A,N/A,N/A,[],['citrus'],[],"['orange', 'bergamot', 'bitter-orange', 'lemon']",[],[],https://aromo.ru/fragrance/christian-tortu-l_eau-de-cologne-68573/
Legni Mediterranei For Men,Giardino dei Sensi,Духи / Экстракт,"0,0",N/A,Духи / Экстракт,N/A,N/A,N/A,[],"['wood', 'fern']",[],"['ambra', 'drevesnyje-noty', 'morskije-noty']",[],[],https://aromo.ru/fragrance/giardino-dei-sensi-legni-mediterranei-for-men-68847/
Lola Bunny,Looney Tunes,Туалетная вода,"4,0",2 оценки,В производстве,N/A,N/A,N/A,[],"['floral', 'fruit']","['grusha', 'pink-pepper', 'tangerine']","['frezija', 'water-lily', 'jasmine']","['ambra', 'musk', 'white-woods', 'vanilnaja-orkhideja']",[],https://aromo.ru/fragrance/looney-tunes-lola-bunny-70313/
Loretta,Deco London,Парфюмерная вода,"0,0",N/A,с 2015,N/A,N/A,N/A,[],"['floral', 'chypre']","['apelsinovyj-cvet-flerdoranzh', 'osmantus']","['pachuli', 'rose', 'jasmine']","['ambra', 'moss', 'musk', 'vanil', 'vetiver']",[],https://aromo.ru/fragrance/deco-london-loretta-70484/
