Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Fruity Floral Otoorifor women and men,for women and men,4.00,1,"['floral', 'green', 'musky', 'powdery']",[],Fruity FloralbyOtooriis a Floral Fruity fragrance for women and men.Fruity Floralwas launched in 2016. Top notes are Floral Notes and Green Notes; middle note is Floral Notes; base notes are Floral Notes and Musk.,https://www.fragrantica.com/perfume/Otoori/Fruity-Floral-40236.html
Red Flower Al Haramain Perfumesfor women and men,for women and men,3.67,3,"['oud', 'woody', 'oily', 'powdery', 'aldehydic', 'amber', 'warm spicy', 'fresh']",[],Red FlowerbyAl Haramain Perfumesis a Amber Floral fragrance for women and men.Red Flowerwas launched in 2016.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Red-Flower-66610.html
Naema White Afnanfor women and men,for women and men,4.25,4,"['citrus', 'green', 'powdery', 'warm spicy', 'fresh']",[],Naema WhitebyAfnanis a fragrance for women and men.,https://www.fragrantica.com/perfume/Afnan/Naema-White-27362.html
Change Man Otto Kernfor men,for men,4.00,2,"['aromatic', 'violet', 'powdery', 'woody', 'green', 'amber', 'fresh spicy', 'warm spicy', 'floral']",[],"Change ManbyOtto Kernis a Woody Spicy fragrance for men.Change Manwas launched in 2015. Top notes are Cardamom and Mint; middle notes are Violet, Thyme and Cedar; base notes are Vetiver and Amber.",https://www.fragrantica.com/perfume/Otto-Kern/Change-Man-31516.html
Portfolio Red Perry Ellisfor men,for men,4.26,27,"['green', 'musky', 'woody', 'sweet', 'lavender', 'fruity', 'powdery', 'citrus', 'aromatic', 'fresh spicy']",[],"Portfolio RedbyPerry Ellisis a fragrance for men.Portfolio Redwas launched in 1999. Top notes are Green Notes and Pear; middle notes are Lavender, Clementine and Basil; base notes are Musk, Teak Wood and Sandalwood.",https://www.fragrantica.com/perfume/Perry-Ellis/Portfolio-Red-61723.html
Chateau De La Haramain Argent Al Haramain Perfumesfor women,for women,5.00,1,"['rose', 'patchouli', 'musky', 'woody', 'powdery', 'warm spicy', 'earthy', 'citrus', 'aromatic', 'floral']",[],Chateau De La Haramain ArgentbyAl Haramain Perfumesis a Chypre Floral fragrance for women. Top note is Bergamot; middle notes are Rose and Cassis; base notes are Patchouli and Musk.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Chateau-De-La-Haramain-Argent-53247.html
Made for Her Afnanfor women,for women,N/A,N/A,[],[],Made for HerbyAfnanis a fragrance for women.Made for Herwas launched in 2012.,https://www.fragrantica.com/perfume/Afnan/Made-for-Her-27376.html
Fiore di Portofino Moresquefor women and men,for women and men,3.98,104,"['aromatic', 'citrus', 'fresh spicy', 'green', 'herbal', 'fresh', 'powdery', 'earthy', 'woody']",['Andrea (Thero) Casotti'],"Fiore di PortofinobyMoresqueis a Floral fragrance for women and men.Fiore di Portofinowas launched in 2016. The nose behind this fragrance is Andrea (Thero) Casotti. Top notes are Italian Lemon, Basil, Sicilian Orange and Neroli; middle notes are Geranium, Tuscan Iris, Mimosa and Carnation; base notes are Haitian Vetiver, Musk and Amber.",https://www.fragrantica.com/perfume/Moresque/Fiore-di-Portofino-41027.html
Tease Rebel Victoria's Secretfor women,for women,4.13,217,"['violet', 'leather', 'ozonic', 'powdery', 'aquatic', 'rose', 'floral', 'animalic', 'green', 'smoky']",['Stephen Nilsen'],Tease RebelbyVictoria's Secretis a Amber Floral fragrance for women.Tease Rebelwas launched in 2018. The nose behind this fragrance is Stephen Nilsen.,https://www.fragrantica.com/perfume/Victoria-s-Secret/Tease-Rebel-51311.html
Ighra Adyanfor women,for women,N/A,N/A,"['citrus', 'fresh spicy', 'vanilla', 'sweet', 'aromatic', 'amber', 'woody', 'oud', 'cherry', 'white floral']",[],"IghrabyAdyanis a Amber Woody fragrance for women.Ighrawas launched in 2020. Top notes are Pink Pepper, Bergamot, Mandarin Orange, Orange, Cherry and Jasmine; middle notes are Tonka Bean, Ambroxan and Geranium; base notes are Vanilla, Cedarwood and Agarwood (Oud).",https://www.fragrantica.com/perfume/Adyan/Ighra-85013.html
Moustache Original 1949 Rochasfor men,for men,3.93,452,"['citrus', 'aromatic', 'lavender', 'fresh spicy', 'mossy', 'musky', 'powdery', 'earthy', 'woody', 'fresh']",[],"Moustache Original 1949byRochasis a Aromatic Fougere fragrance for men.Moustache Original 1949was launched in 2018. Top notes are Lemon and Bergamot; middle notes are Lavender, Neroli and Violet; base notes are Moss, White Musk and Patchouli.",https://www.fragrantica.com/perfume/Rochas/Moustache-Original-1949-52351.html
Madame Coccinelle Antos Cosmesi Naturalefor women,for women,N/A,N/A,"['floral', 'powdery', 'amber', 'musky', 'rose', 'violet', 'warm spicy', 'aromatic', 'animalic']",[],Madame CoccinellebyAntos Cosmesi Naturaleis a fragrance for women. Top notes are Cardamom and Freesia; middle notes are Violet and Rose; base notes are Musk and Amber.,https://www.fragrantica.com/perfume/Antos-Cosmesi-Naturale/Madame-Coccinelle-75919.html
Al Buraq Al Haramain Perfumesfor women and men,for women and men,4.25,36,"['rose', 'oud', 'amber', 'warm spicy', 'musky', 'powdery', 'metallic', 'floral', 'leather']",['Francisco Carbonnel'],Al BuraqbyAl Haramain Perfumesis a Amber Spicy fragrance for women and men. The nose behind this fragrance is Francisco Carbonnel.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Al-Buraq-3898.html
Cubic Al Haramain Perfumesfor women and men,for women and men,4.29,21,"['fruity', 'woody', 'amber', 'citrus', 'powdery', 'iris', 'musky', 'white floral', 'sweet', 'floral']",[],CubicbyAl Haramain Perfumesis a fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Cubic-40180.html
Emir Identity Rose & Leather Paris Cornerfor women and men,for women and men,3.57,14,"['rose', 'aromatic', 'fresh spicy', 'leather', 'woody', 'fruity', 'animalic', 'herbal', 'floral', 'earthy']",[],"Emir Identity Rose & LeatherbyParis Corneris a fragrance for women and men. Top notes are Geranium, Black Currant and Sichuan Pepper; middle notes are Leather and Rose; base notes are Vetiver and Cedar.",https://www.fragrantica.com/perfume/Paris-Corner/Emir-Identity-Rose-Leather-89771.html
Thé Blanc Adopt Parfumsfor women,for women,4.20,54,"['fresh', 'aquatic', 'green', 'musky', 'white floral', 'floral', 'powdery', 'ozonic']",[],"Thé BlancbyAdopt Parfumsis a Floral Green fragrance for women. Top notes are Watery Notes and Floral Notes; middle notes are White Tea, Jasmine and Rose; base notes are White Musk and Guaiac Wood.",https://www.fragrantica.com/perfume/Adopt-Parfums/The-Blanc-23437.html
Souvenir Desert Rose Afnanfor women,for women,3.52,109,"['fruity', 'tropical', 'powdery', 'sweet', 'musky', 'fresh']",[],"Souvenir Desert RosebyAfnanis a Amber Floral fragrance for women.Souvenir Desert Rosewas launched in 2020. Top notes are Fruity Notes and Musk; middle notes are Tropical Fruits and Powdery Notes; base notes are Citruses, Amber and Sandalwood.",https://www.fragrantica.com/perfume/Afnan/Souvenir-Desert-Rose-71180.html
Musk Abiyad Afnanfor women and men,for women and men,4.11,167,"['musky', 'powdery', 'rose', 'woody', 'floral']",[],Musk AbiyadbyAfnanis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Afnan/Musk-Abiyad-27360.html
Nuage Rose Parfum Satorifor women,for women,4.14,7,"['rose', 'floral', 'powdery', 'soft spicy', 'musky', 'sweet', 'violet', 'woody', 'yellow floral', 'iris']",['Satori Osawa'],"Nuage RosebyParfum Satoriis a Floral fragrance for women.Nuage Rosewas launched in 2011. The nose behind this fragrance is Satori Osawa. Top notes are Pink Pepper and Pear; middle notes are Damask Rose, Rose de Mai, Mimosa, Violet and Jasmine; base notes are Ambrette (Musk Mallow), Iris and Sandalwood.",https://www.fragrantica.com/perfume/Parfum-Satori/Nuage-Rose-35416.html
Turathi Red Afnanfor women,for women,3.77,13,"['floral', 'musky', 'white floral', 'fresh', 'rose', 'powdery', 'woody']",[],"Turathi RedbyAfnanis a Floral fragrance for women. This is a new fragrance.Turathi Redwas launched in 2023. Top notes are Musk, Floral Notes and Rose; middle notes are Jasmine, Rose and Woodsy Notes; base notes are Peony, Musk and Apricot.",https://www.fragrantica.com/perfume/Afnan/Turathi-Red-84404.html
Khaltat Al Maha Al Haramain Perfumesfor women and men,for women and men,4.41,22,"['oud', 'rose', 'warm spicy', 'woody', 'powdery', 'floral', 'metallic']",[],Khaltat Al MahabyAl Haramain Perfumesis a Amber fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Khaltat-Al-Maha-19831.html
Remember Me Al Haramain Perfumesfor women and men,for women and men,3.83,160,"['citrus', 'green', 'woody', 'fresh spicy', 'aromatic', 'fresh', 'floral', 'powdery', 'amber']",[],Remember MebyAl Haramain Perfumesis a Amber Floral fragrance for women and men.,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Remember-Me-19829.html
